id,UTC_date,latitude,longitude,depth,magnitude,region
624339,"2017-10-15 18:15:25.9",45.4,26.2,132,2.8,ROMANIA
624337,"2017-10-15 18:35:35.0",5.11,-78.18,32,3.3,"SOUTH OF PANAMA"
624338,"2017-10-15 18:39:35.8",36.93,27.67,7,2.7,"DODECANESE IS.-TURKEY BORDER REG"
624344,"2017-10-15 19:04:14.5",-18.87,169.32,245,4.6,VANUATU
624597,"2017-10-15 19:37:06.1",41.85,-126.96,6,3.2,"OFF COAST OF NORTHERN CALIFORNIA"
624468,"2017-10-15 19:49:27.7",46.93,-112.74,14,2.5,"WESTERN MONTANA"
624341,"2017-10-15 20:08:13.0",40.0,16.17,30,2.0,"SOUTHERN ITALY"
624342,"2017-10-15 20:26:19.9",39.23,28.12,7,2.4,"WESTERN TURKEY"
624346,"2017-10-15 20:49:22.0",-29.64,-71.12,57,3.2,"COQUIMBO - CHILE"
624348,"2017-10-15 21:17:36.0",43.01,13.06,9,2.2,"CENTRAL ITALY"
624350,"2017-10-15 21:29:14.0",-29.44,-71.19,54,3.8,"COQUIMBO - CHILE"
624352,"2017-10-15 22:08:59.0",18.08,-100.04,55,4.0,"GUERRERO - MEXICO"
624353,"2017-10-15 22:20:02.0",47.71,15.8,10,2.2,AUSTRIA
624371,"2017-10-15 22:20:05.0",-8.12,115.35,10,3.2,"BALI REGION - INDONESIA"
624369,"2017-10-15 22:32:11.7",36.98,36.15,7,2.1,"TURKEY-SYRIA BORDER REGION"
624354,"2017-10-15 22:32:59.0",36.65,-11.15,32,2.0,"AZORES-CAPE ST. VINCENT RIDGE"
624356,"2017-10-15 22:44:48.9",47.0,-2.28,5,3.5,FRANCE
624362,"2017-10-15 23:08:46.7",38.81,-122.82,2,2.0,"NORTHERN CALIFORNIA"
624365,"2017-10-15 23:20:40.5",19.33,-155.2,2,2.0,"ISLAND OF HAWAII - HAWAII"
624368,"2017-10-15 23:36:34.0",-21.87,-68.59,109,3.7,"ANTOFAGASTA - CHILE"
624367,"2017-10-15 23:45:15.0",36.54,-121.12,3,2.1,"CENTRAL CALIFORNIA"
624381,"2017-10-16 00:02:52.0",-30.43,117.74,17,2.1,"WESTERN AUSTRALIA"
624372,"2017-10-16 00:06:05.2",59.59,-152.9,100,2.1,"SOUTHERN ALASKA"
624373,"2017-10-16 00:19:37.4",-18.6,-69.92,100,3.9,"TARAPACA - CHILE"
624374,"2017-10-16 00:24:38.0",6.76,-73.15,145,2.8,"NORTHERN COLOMBIA"
624378,"2017-10-16 00:27:28.2",46.53,150.37,176,4.3,"KURIL ISLANDS"
624375,"2017-10-16 00:38:21.7",39.09,30.19,12,2.2,"WESTERN TURKEY"
624377,"2017-10-16 01:02:15.2",39.09,35.88,7,2.2,"CENTRAL TURKEY"
624382,"2017-10-16 01:33:30.0",10.17,-83.93,17,3.3,"COSTA RICA"
624379,"2017-10-16 01:35:34.5",42.56,-111.41,8,3.6,"SOUTHERN IDAHO"
624461,"2017-10-16 01:41:29.6",42.56,-111.41,9,2.8,"SOUTHERN IDAHO"
624389,"2017-10-16 01:51:34.3",47.95,80.39,10,3.8,"EASTERN KAZAKHSTAN"
624396,"2017-10-16 01:53:02.0",-3.6,102.58,1,3.3,"SOUTHERN SUMATRA - INDONESIA"
624388,"2017-10-16 02:09:00.0",36.23,1.65,10,4.0,"NORTHERN ALGERIA"
624406,"2017-10-16 02:25:32.9",38.02,20.15,14,2.4,GREECE
624392,"2017-10-16 02:29:57.1",35.59,27.93,12,2.0,"DODECANESE ISLANDS - GREECE"
624391,"2017-10-16 02:46:36.3",34.78,24.87,10,2.4,"CRETE - GREECE"
624413,"2017-10-16 02:47:26.2",36.89,27.08,13,2.8,"DODECANESE IS.-TURKEY BORDER REG"
624817,"2017-10-16 02:47:42.5",36.45,-98.77,8,2.3,OKLAHOMA
624394,"2017-10-16 02:54:44.7",36.98,27.16,12,2.6,"DODECANESE IS.-TURKEY BORDER REG"
624395,"2017-10-16 03:04:55.2",38.2,20.73,1,2.7,GREECE
624398,"2017-10-16 03:16:20.2",42.56,-111.42,9,2.7,"SOUTHERN IDAHO"
624401,"2017-10-16 03:22:49.1",42.56,-111.42,8,2.6,"SOUTHERN IDAHO"
624397,"2017-10-16 03:25:40.0",15.23,-94.78,11,4.3,"OFF COAST OF OAXACA - MEXICO"
624402,"2017-10-16 03:41:03.4",40.84,21.32,2,2.2,GREECE
624400,"2017-10-16 03:44:31.0",15.12,-94.46,16,4.1,"OFF COAST OF CHIAPAS - MEXICO"
624399,"2017-10-16 03:45:58.6",41.86,14.18,16,2.7,"SOUTHERN ITALY"
624451,"2017-10-16 04:16:30.0",8.49,-83.18,14,3.2,"COSTA RICA"
624403,"2017-10-16 04:32:59.8",38.12,41.36,5,2.4,"EASTERN TURKEY"
624412,"2017-10-16 04:54:10.0",42.56,-111.41,7,2.7,"SOUTHERN IDAHO"
624408,"2017-10-16 05:28:09.4",45.93,-123.49,21,3.4,OREGON
624419,"2017-10-16 06:37:41.3",-20.85,-177.75,494,4.6,"FIJI REGION"
624471,"2017-10-16 06:58:09.9",-28.82,-67.43,157,4.3,"LA RIOJA - ARGENTINA"
624422,"2017-10-16 07:03:00.0",36.23,1.65,10,3.2,"NORTHERN ALGERIA"
624417,"2017-10-16 07:06:40.0",3.51,-75.63,4,2.3,COLOMBIA
624420,"2017-10-16 07:23:48.8",36.97,27.39,10,3.6,"DODECANESE IS.-TURKEY BORDER REG"
624421,"2017-10-16 07:27:58.8",61.58,-149.57,28,3.0,"SOUTHERN ALASKA"
624423,"2017-10-16 07:28:36.0",5.64,-73.88,133,3.6,COLOMBIA
624428,"2017-10-16 08:57:47.4",36.97,27.66,4,2.9,"DODECANESE IS.-TURKEY BORDER REG"
624431,"2017-10-16 09:24:55.3",36.92,27.31,5,2.2,"DODECANESE IS.-TURKEY BORDER REG"
624434,"2017-10-16 09:36:13.2",38.85,25.95,10,2.3,"AEGEAN SEA"
624485,"2017-10-16 09:54:36.0",16.52,-95.11,57,3.7,"OAXACA - MEXICO"
624436,"2017-10-16 10:00:21.7",39.62,24.2,32,2.6,"AEGEAN SEA"
624484,"2017-10-16 10:01:07.0",14.59,-93.59,22,3.8,"OFF COAST OF CHIAPAS - MEXICO"
624483,"2017-10-16 10:06:38.0",15.13,-93.82,16,3.7,"OFFSHORE CHIAPAS - MEXICO"
624482,"2017-10-16 10:12:30.0",14.92,-94.28,21,4.0,"OFF COAST OF CHIAPAS - MEXICO"
624440,"2017-10-16 10:20:05.9",42.82,13.08,9,2.0,"CENTRAL ITALY"
624481,"2017-10-16 10:51:58.0",15.43,-98.78,15,3.8,"OFF COAST OF OAXACA - MEXICO"
624444,"2017-10-16 10:53:59.7",37.03,27.71,7,2.1,"WESTERN TURKEY"
624480,"2017-10-16 10:54:55.0",17.81,-96.42,85,3.8,"OAXACA - MEXICO"
624447,"2017-10-16 11:07:53.0",-30.65,-71.35,54,3.0,"COQUIMBO - CHILE"
624493,"2017-10-16 11:08:41.0",16.63,-95.03,114,3.6,"OAXACA - MEXICO"
624492,"2017-10-16 11:11:32.0",14.99,-93.1,79,3.7,"OFFSHORE CHIAPAS - MEXICO"
624545,"2017-10-16 11:31:01.6",42.62,-111.46,2,2.2,"SOUTHERN IDAHO"
624491,"2017-10-16 11:31:02.0",16.65,-95.1,93,3.5,"OAXACA - MEXICO"
624490,"2017-10-16 11:32:33.0",13.64,-92.57,10,3.9,"OFF THE COAST OF GUATEMALA"
624489,"2017-10-16 11:46:08.0",15.01,-94.39,16,3.9,"OFF COAST OF CHIAPAS - MEXICO"
624448,"2017-10-16 11:53:03.2",42.83,13.11,10,2.8,"CENTRAL ITALY"
624476,"2017-10-16 12:00:54.0",0.38,-78.26,2,3.3,"COLOMBIA-ECUADOR BORDER REGION"
624449,"2017-10-16 12:02:38.2",-5.56,147.35,192,5.0,"EASTERN NEW GUINEA REG. - P.N.G."
624487,"2017-10-16 12:11:25.0",15.59,-95.38,53,3.9,"OFFSHORE OAXACA - MEXICO"
624450,"2017-10-16 12:21:06.0",-31.48,-69.67,153,4.3,"SAN JUAN - ARGENTINA"
624486,"2017-10-16 12:28:55.0",15.89,-95.1,14,3.9,"OFFSHORE OAXACA - MEXICO"
624488,"2017-10-16 12:34:50.0",14.05,-93.1,14,3.6,"OFF COAST OF CHIAPAS - MEXICO"
624452,"2017-10-16 12:47:21.7",31.21,142.08,10,4.8,"IZU ISLANDS - JAPAN REGION"
624479,"2017-10-16 12:58:39.0",16.04,-95.86,53,3.7,"OAXACA - MEXICO"
624455,"2017-10-16 13:03:08.9",40.26,77.04,40,4.6,"SOUTHERN XINJIANG - CHINA"
624454,"2017-10-16 13:22:49.8",42.75,13.18,11,2.9,"CENTRAL ITALY"
624457,"2017-10-16 13:54:37.9",63.14,-172.4,10,4.5,"BERING SEA"
624456,"2017-10-16 13:55:28.7",33.45,-117.68,4,2.2,"GULF OF SANTA CATALINA - CALIF."
624458,"2017-10-16 14:16:42.2",38.81,-122.81,2,2.1,"NORTHERN CALIFORNIA"
624460,"2017-10-16 14:27:21.0",37.36,-121.26,11,2.5,"NORTHERN CALIFORNIA"
624464,"2017-10-16 14:44:40.3",57.72,-155.06,64,3.4,"ALASKA PENINSULA"
624472,"2017-10-16 14:44:47.4",37.03,28.09,7,2.1,"WESTERN TURKEY"
624470,"2017-10-16 14:52:05.2",40.51,-123.06,33,2.2,"NORTHERN CALIFORNIA"
624475,"2017-10-16 15:10:15.4",37.34,30.48,80,2.7,"WESTERN TURKEY"
624477,"2017-10-16 15:17:13.0",-20.43,-68.99,100,3.0,"TARAPACA - CHILE"
624496,"2017-10-16 15:45:15.7",16.0,-95.02,30,4.3,"OFFSHORE OAXACA - MEXICO"
624497,"2017-10-16 16:12:08.2",38.05,43.01,19,2.3,"EASTERN TURKEY"
624499,"2017-10-16 17:02:12.3",37.57,22.65,59,2.2,"SOUTHERN GREECE"
624498,"2017-10-16 17:21:59.6",35.79,25.58,30,2.7,"CRETE - GREECE"
624501,"2017-10-16 17:40:48.0",-21.91,-68.58,125,3.6,"ANTOFAGASTA - CHILE"
624523,"2017-10-16 17:51:09.1",19.7,-157.47,16,4.0,"HAWAIIAN ISLANDS REGION"
624639,"2017-10-16 17:59:04.7",-22.16,-178.99,570,4.7,"SOUTH OF FIJI ISLANDS"
624503,"2017-10-16 18:08:28.8",1.04,-27.93,10,4.9,"CENTRAL MID-ATLANTIC RIDGE"
624505,"2017-10-16 18:09:23.6",-23.72,-175.43,10,5.4,"TONGA REGION"
624504,"2017-10-16 18:13:32.9",36.3,-98.17,6,2.6,OKLAHOMA
624511,"2017-10-16 18:20:00.7",-23.8,-175.73,10,5.1,"TONGA REGION"
624516,"2017-10-16 18:22:53.0",38.83,26.41,7,2.1,"NEAR THE COAST OF WESTERN TURKEY"
624512,"2017-10-16 18:36:41.9",-23.83,-175.44,10,5.3,"TONGA REGION"
624568,"2017-10-16 18:41:43.3",39.66,23.83,24,2.0,"AEGEAN SEA"
624519,"2017-10-16 18:59:06.2",42.5,13.33,12,2.6,"CENTRAL ITALY"
624521,"2017-10-16 19:08:57.5",37.71,26.87,12,2.3,"DODECANESE ISLANDS - GREECE"
624564,"2017-10-16 19:16:24.5",36.94,21.08,20,2.1,"SOUTHERN GREECE"
624522,"2017-10-16 19:29:36.0",-35.37,-74.06,10,5.0,"OFF COAST OF MAULE - CHILE"
624537,"2017-10-16 19:33:04.8",42.57,-111.41,7,2.2,"SOUTHERN IDAHO"
624524,"2017-10-16 19:42:59.2",38.58,43.62,7,2.1,"EASTERN TURKEY"
624525,"2017-10-16 19:56:31.0",-23.95,-69.34,87,3.2,"ANTOFAGASTA - CHILE"
624526,"2017-10-16 19:59:35.0",15.1,-93.14,79,4.2,"OFFSHORE CHIAPAS - MEXICO"
624529,"2017-10-16 20:03:10.1",-23.8,-175.5,10,5.1,"TONGA REGION"
624528,"2017-10-16 20:05:17.6",-10.33,161.61,70,4.9,"SOLOMON ISLANDS"
624530,"2017-10-16 20:06:06.0",16.42,-95.07,75,4.1,"OAXACA - MEXICO"
624532,"2017-10-16 20:21:03.3",38.38,34.93,2,2.0,"CENTRAL TURKEY"
624535,"2017-10-16 20:29:15.9",18.33,-67.0,19,3.3,"PUERTO RICO"
625115,"2017-10-16 20:31:04.1",37.86,21.42,22,2.3,"SOUTHERN GREECE"
